entities	language	tweet_id	text	cagri	kaan	label	cagri_labels	kaan_labels	emre	oguzhan	emre_labels	oguzhan_labels
0:3%OTAR|10:30%OSIG	0	1344144851143712768	CHP’de ki taciz ve tecavüzleri kadınlar, Erdoğan’dan aldığı cesaretle itiraf ettiler🤨 Erdoğan’dan önce mi🤔	1.0	1.0	1.0	0:3%OTAR|10:30%OSIG	0:3%OTAR|10:29%OSIG	-1	-1		
	0	1343949611279540224	aşı yapmadığımız için vatan haini mi oluyoruz bide bunu doktor diyor	0.0	1.0	-2.0		56:62%OTAR	0.0	0.0		
	1	1377041814532861957	RCC Baseball grabs W 15-5! @Bennet_Nooe Grand Slam! @_toBreezy_ 2 Run bomb! @sell__27 throws 6 2/3 on 85 pitches! Eagles now sit at 12-7 3-1. #rolleags https://t.co/SG3B8mJrm3	0.0	0.0	0.0			-1	-1		
	0	1227612681055674368	"Kadın erkek herkes #süresiznafakaya karşı. Saygılarımla arz ederim efendim. @RTErdogan @tcbestepe @adalet_bakanlik @ailevecalisma @kademorgtr @trbiaplatformu @MilatGazete @_ezgicelik @AvOzlemZengin @ZehraZumrutS @ntv @ulketv @sldatalay 
https://t.co/BWB1Ba5UwW"	0.0	0.0	0.0			-1	-1		
0:19%OTAR|226:243%OTAR|243:279%OSIG	1	1344028788485664769	"the white president lied about covid for a year and 336,000 americans are dead. he won't protect us from russian bounties or cyber attacks. he is presently trying to overthrow our democracy. 

but, obama wore a tan suit once.

to support trump...still...is to be a fucking racist."	1.0	1.0	1.0	226:243%OTAR|263:279%OSIG	0:19%OTAR|227:279%OSIG	-1	-1		
64:71%OSIG|131:135%OSIG|258:263%OSIG|264:277%OTAR	0	1229381562518601728	"LGBT bireylerin hak ve özgürlüklerinin ihlali sorununun çözümü; an*dolu sağcılığını hâkim ideoloji ve söylem olmaktan çıkarmaktır. Tece'de LGBT bireylerin haklarını savunan ve yaşamlarına karışma hakkını kendinde görmeyen tek kesim şehirli sekülerler. Yani ""foşik beyaz t*rkler."""	1.0	1.0	1.0	258:263%OSIG|264:277%OTAR	64:71%OSIG|131:135%OSIG	-1	-1		
76:84%OSIG	1	1277464453563498496	Come and kill my people then tell me Turks kills us . Let me say something. FUCK OFF. #TurkeyInvadesKurdistan .	1.0	1.0	1.0	76:84%OSIG	76:84%OSIG	-1	-1		
	1	1344700415145881605	Hey, @GermanyinUSA @GermanyinBoston @GermanyDiplo ...here's a thought. Why not take your allotment of vaccines  and give them to Jews around the world and keep doing so until every Jewish person has been vaccinated? Consider it a way to make up for having killed half of the	0.0	0.0	0.0			-1	-1		
	1	1377220352128978944	"https://t.co/jRA2hFZP73

@govkristinoem people like this governor of SD make people fear and act out violently.... and all these people wanna do is live their best life! I think racism should be a punishable crime!"	0.0	0.0	0.0			-1	-1		
	1	1233881519657246720	"Can we abolish gender now?

Mutha fuckas be taking that shit too seriously."	1.0	0.0	-2.0	28:40%OSIG	27:40%OSIG	1.0	1.0	type:textContent|137$149$1$highlight-offensivesignal$	type:textContent|137$149$1$highlight-offensivesignal$
31:34%OSIG|35:40%OTAR	0	1274792057995919361	+6 ne durduk yere sarı kart ne piç hakem	1.0	1.0	1.0	31:34%OSIG|35:40%OTAR	31:34%OSIG|35:40%OTAR	-1	-1		
	0	1317186153603280897	Fenerbahçe Beko da Brown tüm takımı katletti resmen ve ısrarla hala oyunda. Yok bu koçtan da bu takımdan da bir cacık olmaz aga.	0.0	1.0	-2.0		83:86%OTAR|96:101%OTAR|112:117%OSIG	1.0	1.0	type:textContent|128$133$1$highlight-offensivetarget$|145$153$2$highlight-offensivesignal$|192$195$3$highlight-offensivetarget$|205$210$4$highlight-offensivetarget$|221$226$5$highlight-offensivesignal$	type:textContent|128$133$1$highlight-offensivetarget$|145$153$2$highlight-offensivesignal$|192$195$4$highlight-offensivetarget$|205$210$5$highlight-offensivetarget$|221$226$3$highlight-offensivesignal$
0:4%OSIG|5:10%OTAR|45:86%OSIG	1	1277319404120834049	"Stfu turks we are not your country mates you fucking racist terrorist bastard FUCK YOU!! FROM THE BOTTOM MY HEARTS 
#TurkeyInvadesKurdistan"	1.0	1.0	1.0	0:4%OSIG|5:10%OTAR|45:86%OSIG	0:4%OSIG|5:10%OTAR|45:86%OSIG	-1	-1		
	0	1288297462017544194	Yıl olmuş 2020 biz hala kadın hakları, hayvan hakları, toplumsal ahlak, cinayet, tecavüz üzerine konuşuyoruz. Bu arada bir de herşeyi öğrendiğimiz sosyal medya için sansür yasası var. Yazık bize, geleceğe, gençliğe yazık. #SansuerYasasınaDurDe #istanbulsozlesmesiyasatir	0.0	0.0	0.0			-1	-1		
	1	1343904811264172032	"ICON MALE  -  On Sale  -  66% OFF  -  Save $20  -  $9.99

Get The Deal - https://t.co/xDaLJS1MdH

Erotic Gay Porn &amp; Passionate Sex - Icon Male

Premium Erotic Gay Porntars Shot Beautifully In HD Hardcore Action

Start Saving Now: https://t.co/xDaLJS1MdH https://t.co/UvcWbBG3BD"	0.0	0.0	0.0			-1	-1		
173:175%OSIG	0	1272247472623104000	Herkes böyle ilk 3 hayallerinde, neden? Lig sonuncusu Kayseri’yi Altay’ın üst düzey performansı ve biraz da şansla yendik. 7’de 7 yapacağımız banko havasında herkes noluyor aq?	1.0	1.0	1.0	173:175%OSIG	173:175%OSIG	-1	-1		
	0	1230176142549757952	Feminist olacak kız kılından belli olur https://t.co/LBykVGaSjS		1.0	-2.0		0:8%OTAR|20:39%OSIG	-1	-1		
